slug,category,title,format,dimensions,canva_editable_source,svg_export,png_export,photo_direction,grid
guildsa-registration-closing-soon,Countdown Series,REGISTRATION / CLOSING / SOON,square,1600x1600,Marketing/canva/guildsa-registration-closing-soon.svg,Marketing/svg/guildsa-registration-closing-soon.svg,Marketing/png/guildsa-registration-closing-soon.png,Urgency-focused typographic layout.,"12 columns, 8px baseline, modular spacing"
guildsa-eduvos-partner,Partner Series,EDUVOS / MENLYN,landscape,1920x1080,Marketing/canva/guildsa-eduvos-partner.svg,Marketing/svg/guildsa-eduvos-partner.svg,Marketing/png/guildsa-eduvos-partner.png,"Campus, lecture space, student collaboration.","12 columns, 8px baseline, modular spacing"
guildsa-lovable-partner,Partner Series,LOVABLE,landscape,1920x1080,Marketing/canva/guildsa-lovable-partner.svg,Marketing/svg/guildsa-lovable-partner.svg,Marketing/png/guildsa-lovable-partner.png,Builders using AI tools and shipping interfaces.,"12 columns, 8px baseline, modular spacing"
guildsa-veloztech-partner,Partner Series,VELOZTECH,landscape,1920x1080,Marketing/canva/guildsa-veloztech-partner.svg,Marketing/svg/guildsa-veloztech-partner.svg,Marketing/png/guildsa-veloztech-partner.png,Startup operator and product demo environment.,"12 columns, 8px baseline, modular spacing"
guildsa-become-a-sponsor,Sponsorship Series,BECOME / A SPONSOR,poster,2160x2700,Marketing/canva/guildsa-become-a-sponsor.svg,Marketing/svg/guildsa-become-a-sponsor.svg,Marketing/png/guildsa-become-a-sponsor.png,Sponsor presentation and demo environment.,"12 columns, 8px baseline, modular spacing"
guildsa-sponsor-benefits,Sponsorship Series,WHY / SPONSOR,landscape,1920x1080,Marketing/canva/guildsa-sponsor-benefits.svg,Marketing/svg/guildsa-sponsor-benefits.svg,Marketing/png/guildsa-sponsor-benefits.png,Sponsor booth without handshake cliches.,"12 columns, 8px baseline, modular spacing"
guildsa-sponsor-impact,Sponsorship Series,SPONSOR / IMPACT,landscape,1920x1080,Marketing/canva/guildsa-sponsor-impact.svg,Marketing/svg/guildsa-sponsor-impact.svg,Marketing/png/guildsa-sponsor-impact.png,Impact metrics and event production.,"12 columns, 8px baseline, modular spacing"
guildsa-challenge-partner-opportunities,Sponsorship Series,CHALLENGE / PARTNER / OPPORTUNITIES,landscape,1920x1080,Marketing/canva/guildsa-challenge-partner-opportunities.svg,Marketing/svg/guildsa-challenge-partner-opportunities.svg,Marketing/png/guildsa-challenge-partner-opportunities.png,Whiteboard challenge briefing.,"12 columns, 8px baseline, modular spacing"
guildsa-become-a-mentor,Mentor Series,BECOME / A MENTOR,poster,2160x2700,Marketing/canva/guildsa-become-a-mentor.svg,Marketing/svg/guildsa-become-a-mentor.svg,Marketing/png/guildsa-become-a-mentor.png,Mentor reviewing prototypes with teams.,"12 columns, 8px baseline, modular spacing"
guildsa-mentor-spotlight-template,Mentor Series,MENTOR / SPOTLIGHT,square,1600x1600,Marketing/canva/guildsa-mentor-spotlight-template.svg,Marketing/svg/guildsa-mentor-spotlight-template.svg,Marketing/png/guildsa-mentor-spotlight-template.png,Portrait module plus crisp role metadata.,"12 columns, 8px baseline, modular spacing"
guildsa-mentor-recruitment-poster,Mentor Series,THE ROOM / NEEDS / BUILDERS / AND GUIDES,poster,2160x2700,Marketing/canva/guildsa-mentor-recruitment-poster.svg,Marketing/svg/guildsa-mentor-recruitment-poster.svg,Marketing/png/guildsa-mentor-recruitment-poster.png,Live product critique and demo prep.,"12 columns, 8px baseline, modular spacing"
guildsa-meet-the-founders,Community Series,MEET / THE / FOUNDERS,square,1600x1600,Marketing/canva/guildsa-meet-the-founders.svg,Marketing/svg/guildsa-meet-the-founders.svg,Marketing/png/guildsa-meet-the-founders.png,"Founder portraits, working sessions, candid environments.","12 columns, 8px baseline, modular spacing"
guildsa-meet-the-builders,Community Series,MEET / THE / BUILDERS,square,1600x1600,Marketing/canva/guildsa-meet-the-builders.svg,Marketing/svg/guildsa-meet-the-builders.svg,Marketing/png/guildsa-meet-the-builders.png,Builder portraits with laptops and prototypes.,"12 columns, 8px baseline, modular spacing"
guildsa-why-join-guild-sa,Community Series,WHY JOIN / GUILD SA,social,1600x2000,Marketing/canva/guildsa-why-join-guild-sa.svg,Marketing/svg/guildsa-why-join-guild-sa.svg,Marketing/png/guildsa-why-join-guild-sa.png,Teams collaborating around real problems.,"12 columns, 8px baseline, modular spacing"
guildsa-builder-stories-template,Community Series,BUILDER / STORIES,square,1600x1600,Marketing/canva/guildsa-builder-stories-template.svg,Marketing/svg/guildsa-builder-stories-template.svg,Marketing/png/guildsa-builder-stories-template.png,Portrait plus MVP screenshot module.,"12 columns, 8px baseline, modular spacing"
guildsa-event-agenda-poster,Event Operations,AGENDA,poster,2160x2700,Marketing/canva/guildsa-event-agenda-poster.svg,Marketing/svg/guildsa-event-agenda-poster.svg,Marketing/png/guildsa-event-agenda-poster.png,Operational signage with time blocks.,"12 columns, 8px baseline, modular spacing"
guildsa-venue-wayfinding-signage,Event Operations,BUILDATHON / THIS WAY,signage,2160x3840,Marketing/canva/guildsa-venue-wayfinding-signage.svg,Marketing/svg/guildsa-venue-wayfinding-signage.svg,Marketing/png/guildsa-venue-wayfinding-signage.png,Directional campus signage.,"12 columns, 8px baseline, modular spacing"
guildsa-registration-desk-graphics,Event Operations,REGISTRATION,signage,2160x3840,Marketing/canva/guildsa-registration-desk-graphics.svg,Marketing/svg/guildsa-registration-desk-graphics.svg,Marketing/png/guildsa-registration-desk-graphics.png,Registration desk and role tags.,"12 columns, 8px baseline, modular spacing"
guildsa-team-formation-poster,Event Operations,FORM / A TEAM,poster,2160x2700,Marketing/canva/guildsa-team-formation-poster.svg,Marketing/svg/guildsa-team-formation-poster.svg,Marketing/png/guildsa-team-formation-poster.png,Team matching board and role labels.,"12 columns, 8px baseline, modular spacing"
guildsa-judging-criteria-poster,Event Operations,JUDGING / CRITERIA,poster,2160x2700,Marketing/canva/guildsa-judging-criteria-poster.svg,Marketing/svg/guildsa-judging-criteria-poster.svg,Marketing/png/guildsa-judging-criteria-poster.png,Judges reviewing live demos.,"12 columns, 8px baseline, modular spacing"
guildsa-rules-guidelines-poster,Event Operations,RULES & / GUIDELINES,poster,2160x2700,Marketing/canva/guildsa-rules-guidelines-poster.svg,Marketing/svg/guildsa-rules-guidelines-poster.svg,Marketing/png/guildsa-rules-guidelines-poster.png,Clean operational rules board.,"12 columns, 8px baseline, modular spacing"
guildsa-build-session-graphics,Event Day,BUILD / SESSION,landscape,1920x1080,Marketing/canva/guildsa-build-session-graphics.svg,Marketing/svg/guildsa-build-session-graphics.svg,Marketing/png/guildsa-build-session-graphics.png,Focused build sprint.,"12 columns, 8px baseline, modular spacing"
guildsa-demo-day-graphics,Event Day,DEMO / DAY,landscape,1920x1080,Marketing/canva/guildsa-demo-day-graphics.svg,Marketing/svg/guildsa-demo-day-graphics.svg,Marketing/png/guildsa-demo-day-graphics.png,Team demoing to an audience.,"12 columns, 8px baseline, modular spacing"
guildsa-judges-graphics,Event Day,JUDGES,landscape,1920x1080,Marketing/canva/guildsa-judges-graphics.svg,Marketing/svg/guildsa-judges-graphics.svg,Marketing/png/guildsa-judges-graphics.png,Judging panel and product reviews.,"12 columns, 8px baseline, modular spacing"
guildsa-winner-graphics,Event Day,WINNER,square,1600x1600,Marketing/canva/guildsa-winner-graphics.svg,Marketing/svg/guildsa-winner-graphics.svg,Marketing/png/guildsa-winner-graphics.png,Winning team and demo moment.,"12 columns, 8px baseline, modular spacing"
guildsa-awards-graphics,Event Day,AWARDS,landscape,1920x1080,Marketing/canva/guildsa-awards-graphics.svg,Marketing/svg/guildsa-awards-graphics.svg,Marketing/png/guildsa-awards-graphics.png,Awards stage without generic confetti.,"12 columns, 8px baseline, modular spacing"
guildsa-event-recap-poster,Post Event,WHAT / WE BUILT,poster,2160x2700,Marketing/canva/guildsa-event-recap-poster.svg,Marketing/svg/guildsa-event-recap-poster.svg,Marketing/png/guildsa-event-recap-poster.png,Recap collage grid with project modules.,"12 columns, 8px baseline, modular spacing"
guildsa-project-showcase-template,Post Event,PROJECT / SHOWCASE,landscape,1920x1080,Marketing/canva/guildsa-project-showcase-template.svg,Marketing/svg/guildsa-project-showcase-template.svg,Marketing/png/guildsa-project-showcase-template.png,MVP screenshot and team metadata.,"12 columns, 8px baseline, modular spacing"
guildsa-sponsor-thank-you,Post Event,THANK / YOU,square,1600x1600,Marketing/canva/guildsa-sponsor-thank-you.svg,Marketing/svg/guildsa-sponsor-thank-you.svg,Marketing/png/guildsa-sponsor-thank-you.png,Partner appreciation module.,"12 columns, 8px baseline, modular spacing"
guildsa-community-highlights,Post Event,COMMUNITY / HIGHLIGHTS,square,1600x1600,Marketing/canva/guildsa-community-highlights.svg,Marketing/svg/guildsa-community-highlights.svg,Marketing/png/guildsa-community-highlights.png,Candid community and work moments.,"12 columns, 8px baseline, modular spacing"
guildsa-future-nodes-campaign,Post Event,FUTURE / NODES,poster,2160x2700,Marketing/canva/guildsa-future-nodes-campaign.svg,Marketing/svg/guildsa-future-nodes-campaign.svg,Marketing/png/guildsa-future-nodes-campaign.png,Map-like modular expansion graphic.,"12 columns, 8px baseline, modular spacing"
